STATE,CLASS,GENDER,AGE,PAID
STATE 15,C6 ,M,83,565.39
STATE 15,C11,M,83,557.57
STATE 15,C6 ,M,83,549.96
STATE 06,C6 ,M,83,515
STATE 15,C11,M,83,505
STATE 04,C11,M,83,495.48
STATE 07,C6 ,F,83,461.84
STATE 02,C11,M,83,456.56
STATE 02,C11,F,83,447.66
STATE 04,C11,M,83,362.63
STATE 15,C1 ,M,83,359.41
STATE 15,F6 ,M,83,358.47
STATE 14,C6 ,M,83,358.46
STATE 02,C6 ,F,83,354.29
STATE 02,F11,M,83,354.27
STATE 15,C6 ,F,83,332.84
STATE 02,C1 ,M,83,331.59
STATE 15,C11,M,83,322.41
STATE 15,C6 ,M,83,264.6
STATE 17,C6 ,M,83,262.81
STATE 02,C1 ,F,83,250
STATE 02,C6 ,F,83,244.11
STATE 14,C1 ,F,83,226.41
STATE 15,C6 ,F,83,119.98
STATE 15,C6 ,F,83,53.7
STATE 15,C6 ,M,82,9619.48
STATE 02,F6 ,F,82,9377.82
STATE 06,C1 ,F,82,7487.11
STATE 15,C6 ,F,82,7444.98
STATE 06,C6 ,M,82,6621.64
STATE 15,C6 ,F,82,6460.23
STATE 15,C6 ,M,82,6282.92
STATE 03,C6 ,F,82,5871.55
STATE 15,C6 ,M,82,5792.79
STATE 04,F1 ,F,82,5748.28
STATE 02,C6 ,M,82,5540.07
STATE 04,C1 ,M,82,5390.83
STATE 02,C6 ,F,82,4318.67
STATE 15,C1B,M,82,4218.09
STATE 15,C1 ,F,82,4173.63
STATE 13,C11,M,82,4043.46
STATE 15,C6 ,M,82,3367.26
STATE 06,C6 ,M,82,3234.22
STATE 15,C11,M,82,3118.5
STATE 12,C6 ,F,82,3023
STATE 01,C6 ,M,82,2983.48
STATE 12,C6 ,F,82,2815.14
STATE 15,C11,M,82,2495.8
STATE 15,C6 ,F,82,2362.89
STATE 14,C11,F,82,2288
STATE 15,C11,F,82,2007.78
STATE 07,C6 ,F,82,1936.69
STATE 02,C6 ,M,82,1816.41
STATE 17,C6 ,F,82,1595.67
STATE 02,C11,F,82,1553.53
STATE 01,F6 ,M,82,1500
STATE 12,C6 ,M,82,1463.34
STATE 15,C1 ,F,82,1441.76
STATE 15,C11,M,82,1388.48
STATE 14,C6 ,M,82,1384.13
STATE 02,C6 ,F,82,1298.89
STATE 02,C11,F,82,1278.84
STATE 15,C11,M,82,1176.97
STATE 15,C6 ,M,82,1139.6
STATE 04,C11,F,82,1113.15
STATE 14,F1 ,M,82,1111.55
STATE 07,C11,M,82,1061.67
STATE 03,C6 ,M,82,1061.34
STATE 15,C6 ,F,82,1039.33
STATE 15,C11,M,82,1029
STATE 02,C11,M,82,1007.6
STATE 15,C6 ,M,82,1000
STATE 02,C6 ,F,82,958.34
STATE 02,C11,M,82,952.05
STATE 15,C11,M,82,921.93
STATE 04,C11,F,82,870.19
STATE 04,C6 ,F,82,821.81
STATE 15,C6 ,M,82,806.61
STATE 17,C6 ,F,82,761.19
STATE 15,C6 ,M,82,746.89
STATE 04,C11,M,82,733.99
STATE 15,C11,M,82,724.77
STATE 15,C11,F,82,713.42
STATE 10,C11,F,82,688.55
STATE 15,C6 ,F,82,688.3
STATE 04,C11,M,82,685.13
STATE 02,C6 ,M,82,644.87
STATE 03,C6 ,F,82,640.85
STATE 02,C6 ,F,82,638.2
STATE 15,C6 ,F,82,618.13
STATE 17,C11,M,82,595.65
STATE 04,F1 ,F,82,512.28
STATE 15,C1 ,F,82,507.31
STATE 06,C11,M,82,502.28
STATE 07,C11,F,82,489.86
STATE 15,C6 ,F,82,489.1
STATE 15,C6 ,F,82,485.66
STATE 15,F6 ,M,82,443.1
STATE 14,F6 ,M,82,420.14
STATE 15,C6 ,F,82,411.9
STATE 15,C6 ,F,82,293.75
STATE 17,C6 ,F,82,257.41
STATE 17,C6 ,F,82,248.86
STATE 03,C11,M,82,189.84
STATE 02,C6 ,F,82,188.61
STATE 06,C6 ,M,82,152.41
STATE 17,C11,M,82,150.01
STATE 02,C11,F,82,117.4
STATE 15,C1 ,M,82,68
STATE 04,C11,M,82,42.32
STATE 02,C1 ,M,81,12714.43
STATE 15,C6 ,M,81,10116.07
STATE 15,F6 ,M,81,9704.25
STATE 02,C1B,M,81,8523.02
STATE 06,C6 ,M,81,7063.08
STATE 17,C1 ,F,81,5881.62
STATE 04,C11,F,81,4962.54
STATE 11,C6 ,F,81,4635
STATE 15,C6 ,M,81,4516.61
STATE 17,C11,F,81,4387.11
STATE 06,C6 ,F,81,4288.59
STATE 15,C6 ,M,81,4098.25
STATE 15,C6 ,F,81,3334.19
STATE 15,C6 ,M,81,3076.32
STATE 15,C6 ,F,81,2866.99
STATE 07,C6 ,M,81,2786.21
STATE 06,C11,F,81,2679.55
STATE 15,C6 ,F,81,2591.51
STATE 15,C6 ,M,81,2500
STATE 15,C6 ,M,81,2440.38
STATE 15,C11,F,81,2425
STATE 15,C11,F,81,2330
STATE 15,C6 ,M,81,2266
STATE 06,C6 ,F,81,2203.94
STATE 15,C6 ,F,81,2186.7
STATE 17,C11,F,81,2144.46
STATE 15,C11,M,81,1972.9
STATE 04,C11,M,81,1949.14
STATE 17,C6 ,F,81,1887.98
STATE 15,C6 ,M,81,1852.5
STATE 15,C6 ,M,81,1834.35
STATE 06,C1B,M,81,1765.83
STATE 15,C6 ,M,81,1722.82
STATE 15,C6 ,M,81,1705
STATE 03,C11,M,81,1699.52
STATE 15,C6 ,F,81,1595.28
STATE 15,C6 ,M,81,1539.07
STATE 17,C6 ,M,81,1494.41
STATE 10,C1 ,M,81,1476.43
STATE 02,C6 ,F,81,1465.95
STATE 15,C6 ,F,81,1460.96
STATE 15,C6 ,F,81,1460.2
STATE 15,C11,M,81,1458.13
STATE 04,C11,M,81,1371.66
STATE 02,C11,M,81,1370.45
STATE 04,C11,F,81,1349.86
STATE 04,C11,M,81,1327.24
STATE 15,C6 ,F,81,1256.02
STATE 07,C6 ,F,81,1253.41
STATE 15,C6 ,M,81,1216.32
STATE 01,C6 ,M,81,1172.96
STATE 15,F6 ,M,81,1119.52
STATE 04,C11,F,81,1115.91
STATE 12,C6 ,M,81,1077.66
STATE 02,C6 ,M,81,1072.24
STATE 02,C11,M,81,1064.77
STATE 02,C1 ,M,81,1051.47
STATE 03,C11,M,81,1025.02
STATE 02,C6 ,F,81,1018.5
STATE 15,C11,M,81,990.07
STATE 01,F11,M,81,988.75
STATE 15,C11,M,81,987.73
STATE 10,C6 ,F,81,987
STATE 15,C11,F,81,966.85
STATE 15,C6 ,F,81,961.55
STATE 03,C6 ,M,81,924.61
STATE 06,C11,F,81,904.84
STATE 15,C6 ,F,81,887.04
STATE 03,F6 ,M,81,856.26
STATE 01,C11,M,81,853.88
STATE 15,C6 ,F,81,822.2
STATE 15,C1 ,M,81,782.44
STATE 02,C11,F,81,729.32
STATE 15,C6 ,F,81,706.22
STATE 15,C1 ,F,81,700
STATE 04,C11,M,81,699.49
STATE 17,F6 ,F,81,677.76
STATE 14,C1 ,M,81,646.17
STATE 02,C11,M,81,629.84
STATE 15,C11,F,81,604.75
STATE 02,C11,M,81,601.23
STATE 15,C11,F,81,596.32
STATE 04,C6 ,F,81,563.78
STATE 15,C6 ,F,81,563.58
STATE 03,C11,M,81,527.81
STATE 02,F6 ,M,81,500.37
STATE 15,C1B,M,81,492.56
STATE 15,C11,M,81,477.96
STATE 04,C11,M,81,459
STATE 14,F6 ,M,81,414.34
STATE 03,C11,M,81,408.9
STATE 04,C11,F,81,407.66
STATE 17,C6 ,M,81,397.99
STATE 03,C11,F,81,397.51
STATE 15,C11,F,81,380
STATE 14,C1 ,M,81,377.36
STATE 02,C11,F,81,368.93
STATE 15,C6 ,M,81,356.25
STATE 15,C11,F,81,329.98
STATE 15,C1 ,M,81,319.67
STATE 15,C6 ,F,81,317.56
STATE 13,C1 ,M,81,309.39
STATE 06,C6 ,M,81,297.49
STATE 15,C6 ,F,81,294.84
STATE 17,C6 ,M,81,279.1
STATE 15,C1B,F,81,244.4
STATE 03,C11,F,81,201.81
STATE 15,C6 ,F,81,200
STATE 04,F6 ,M,81,196
STATE 17,F6 ,M,81,176.07
STATE 10,F6 ,F,81,169.5
STATE 15,C11,M,81,161.43
STATE 17,F6 ,F,81,154.75
STATE 11,C11,M,81,146.11
STATE 15,C6 ,M,81,79.59
STATE 15,C6 ,M,80,28083.99
STATE 15,C6 ,M,80,15566.84
STATE 15,C11,F,80,13193.1
STATE 03,C6 ,F,80,9811.3
STATE 02,F6 ,F,80,8493.76
STATE 15,C11,M,80,6132.24
STATE 15,C6 ,M,80,5037.9
STATE 03,C11,M,80,4885.08
STATE 15,C6 ,F,80,3978.09
STATE 15,C6 ,F,80,3846.07
STATE 17,F6 ,M,80,3809.83
STATE 06,C1 ,M,80,3334.21
STATE 02,C11,M,80,3222.66
STATE 03,C11,F,80,2997.83
STATE 14,F6 ,M,80,2750
STATE 02,C6 ,M,80,2607.81
STATE 13,C11,M,80,2511.41
STATE 17,C11,M,80,2254.87
STATE 15,C6 ,M,80,2179.51
STATE 13,C6 ,F,80,2149.17
STATE 15,C6 ,M,80,1975
STATE 17,C6 ,F,80,1897.85
STATE 02,C6 ,M,80,1857.92
STATE 15,C6 ,F,80,1697.72
STATE 01,F6 ,M,80,1619.1
STATE 02,C11,F,80,1513.56
STATE 04,C11,F,80,1500.65
STATE 07,C6 ,M,80,1488.14
STATE 15,C11,M,80,1442.94
STATE 15,C6 ,M,80,1437.68
STATE 15,C6 ,M,80,1350.04
STATE 04,C6 ,F,80,1237.06
STATE 14,C6 ,M,80,1200
STATE 15,C6 ,M,80,1122.33
STATE 02,F6 ,M,80,1113.38
STATE 15,C1 ,M,80,1082.25
STATE 06,C6 ,F,80,1059.58
STATE 17,C11,M,80,1037.14
STATE 14,C6 ,F,80,1000.03
STATE 17,C11,M,80,957.72
STATE 12,C11,F,80,954.6
STATE 14,F6 ,M,80,953.15
STATE 12,C6 ,M,80,917.88
STATE 02,C6 ,M,80,903.93
STATE 02,C11,M,80,870.6
STATE 15,C6 ,F,80,860.34
STATE 15,C6 ,M,80,849.68
STATE 01,C6 ,F,80,846.97
STATE 02,C6 ,M,80,842.8
STATE 02,C6 ,F,80,818.55
STATE 10,C11,M,80,787.62
STATE 04,C6 ,M,80,783.6
STATE 17,F6 ,F,80,766.4
STATE 17,C11,F,80,743.42
STATE 03,C1 ,M,80,706.58
STATE 15,C6 ,F,80,703.76
STATE 02,C6 ,F,80,677.88
STATE 02,C1 ,F,80,673.76
STATE 15,C6 ,F,80,663.17
STATE 15,C11,M,80,640.4
STATE 02,F6 ,M,80,633.48
STATE 14,F6 ,M,80,619.06
STATE 01,F1 ,F,80,605.43
STATE 07,C6 ,F,80,600
STATE 06,C2 ,M,80,544.9
STATE 15,C6 ,F,80,497.35
STATE 02,C11,F,80,465.45
STATE 15,C6 ,M,80,454.65
STATE 06,C1B,F,80,419.18
STATE 04,C11,F,80,408.73
STATE 15,C6 ,F,80,399.29
STATE 15,C11,M,80,371.6
STATE 15,C6 ,M,80,370.79
STATE 17,C11,F,80,366.19
STATE 03,C11,F,80,342.08
STATE 03,C11,M,80,312.58
STATE 15,C11,M,80,308.7
STATE 17,C11,M,80,298.62
STATE 02,C11,M,80,220
STATE 15,C6 ,M,80,220
STATE 12,C6 ,M,80,208.85
STATE 02,C6 ,F,80,206.05
STATE 15,C6 ,M,80,189.06
STATE 15,C11,F,80,175
STATE 15,C6 ,M,80,160.2
STATE 17,C11,F,80,133.75
STATE 15,C2 ,M,80,130.94
STATE 15,C1 ,F,80,105.5
STATE 15,C6 ,M,80,81.24
STATE 15,C6 ,F,80,75
STATE 02,C6 ,M,80,65.84
STATE 15,C6 ,F,80,35.45
STATE 02,C6 ,M,80,35
STATE 12,C1B,F,80,25
STATE 15,F11,M,79,23015.61
STATE 12,C1 ,F,79,9526.8
STATE 12,C6 ,F,79,8323.31
STATE 15,C6 ,M,79,7085.35
STATE 15,C1 ,F,79,6857.5
STATE 15,C1 ,F,79,6751.49
STATE 04,C11,M,79,6419.37
STATE 17,C6 ,F,79,6291.84
STATE 10,F6 ,M,79,5999.42
STATE 15,C6 ,M,79,5601.33
STATE 15,C6 ,M,79,5502.07
STATE 15,C6 ,F,79,5262.48
STATE 15,C6 ,M,79,4921.14
STATE 15,C11,M,79,4904.64
STATE 14,C6 ,M,79,4096.58
STATE 02,C11,M,79,3749.91
STATE 02,C1 ,M,79,3708.88
STATE 14,F6 ,M,79,3471.25
STATE 15,C6 ,M,79,3334.65
STATE 15,C6 ,F,79,3126.33
STATE 15,C11,F,79,3009.29
STATE 15,C1 ,M,79,2458.07
STATE 04,C6 ,M,79,2425.62
STATE 06,C1 ,M,79,2360.95
STATE 15,C6 ,M,79,2360.87
STATE 15,C6 ,M,79,2173.7
STATE 02,C11,M,79,2011.26
STATE 15,F6 ,M,79,1954.97
STATE 04,C11,F,79,1937.14
STATE 06,C1 ,F,79,1764.25
STATE 15,C6 ,F,79,1755.95
STATE 01,F6 ,M,79,1724.86
STATE 17,F6 ,M,79,1690.5
STATE 04,C11,M,79,1614
STATE 17,C11,F,79,1515.02
STATE 15,C6 ,F,79,1445.35
STATE 04,C11,M,79,1443.65
STATE 17,C11,M,79,1433.45
STATE 14,C1 ,M,79,1404.12
STATE 15,C6 ,F,79,1288.76
STATE 15,C6 ,F,79,1279.43
STATE 15,C11,M,79,1271.81
STATE 02,C6 ,M,79,1250
STATE 17,C6 ,M,79,1176.91
STATE 15,C1 ,M,79,1170.56
STATE 15,C6 ,M,79,1160.63
STATE 15,C6 ,M,79,1113.92
STATE 04,C6 ,F,79,1098.37
STATE 15,C6 ,M,79,1051.93
STATE 15,C6 ,M,79,1048.32
STATE 15,C6 ,F,79,998.28
STATE 15,C11,M,79,987.19
STATE 15,C6 ,F,79,959.81
STATE 17,C11,F,79,928.81
STATE 04,C11,F,79,914.62
STATE 02,C11,F,79,897.41
